SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
New Construction Plan,,Single Family Residential,Residence 1,Irvine,CA,92618,1574990,4,3.5,Altair Irvine - Starlight,3084,,,,511,,Active,,,http://www.redfin.com/CA/Irvine/Altair-Irvine-Starlight/Residence-1/home/144216772,NewHomeSource.com,Plan-61405387,N,Y,33.6826,-117.716
New Construction Plan,,Single Family Residential,Residence 1,Irvine,CA,92618,1439990,4,4.5,Great Park Neighborhoods - Marcato at Cadence Park,2878,,,,500,,Active,,,http://www.redfin.com/CA/Irvine/Great-Park-Neighborhoods-Marcato-at-Cadence-Park/Residence-1/home/144388347,NewHomeSource.com,Plan-61488266,N,Y,33.6807,-117.737
New Construction Plan,,Single Family Residential,Residence 2,Irvine,CA,92618,1524990,4,4.0,Great Park Neighborhoods - Marcato at Cadence Park,3232,,,,472,,Active,,,http://www.redfin.com/CA/Irvine/Great-Park-Neighborhoods-Marcato-at-Cadence-Park/Residence-2/home/144388313,NewHomeSource.com,Plan-61488267,N,Y,33.6807,-117.737
New Construction Plan,,Multi-Family (2-4 Unit),Residence 2X,Irvine,CA,92618,989990,3,2.5,Travata - Castillo at Travata,1947,,,,508,,Active,,,http://www.redfin.com/CA/Irvine/Travata-Castillo-at-Travata/Residence-2X/home/145102183,NewHomeSource.com,Plan-61494287,N,Y,33.6754549,-117.7490709
New Construction Plan,,Multi-Family (2-4 Unit),Residence 1,Irvine,CA,92618,685990,2,2.0,Travata - Aldea at Travata,1417,,,,484,,Active,,,http://www.redfin.com/CA/Irvine/Travata-Aldea-at-Travata/Residence-1/home/146746631,NewHomeSource.com,Plan-61541397,N,Y,33.68091,-117.7718375
New Construction Plan,,Condo/Co-op,Muse Plan 1,Irvine,CA,92618,800644,4,3.5,Muse at Cadence Park,1907,,,,420,,Active,,,http://www.redfin.com/CA/Irvine/Muse-at-Cadence-Park/Muse-Plan-1/home/145409293,NewHomeSource.com,Plan-61497716,N,Y,33.638998,-117.720093
New Construction Plan,,Condo/Co-op,Muse Plan 2,Irvine,CA,92618,813935,3,3.5,Muse at Cadence Park,1933,,,,421,,Active,,,http://www.redfin.com/CA/Irvine/Muse-at-Cadence-Park/Muse-Plan-2/home/145409292,NewHomeSource.com,Plan-61497717,N,Y,33.638998,-117.720093
New Construction Plan,,Multi-Family (2-4 Unit),Metropolis,Irvine,CA,92618,911430,4,3.5,Deco at Cadence Park,2151,,,,424,,Active,,,http://www.redfin.com/CA/Irvine/Deco-at-Cadence-Park/Metropolis/home/148128634,NewHomeSource.com,Plan-51570729,N,Y,33.683667,-117.720754
New Construction Plan,,Multi-Family (2-4 Unit),Pontiac,Irvine,CA,92618,918750,3,2.5,Deco at Cadence Park,2047,,,,449,,Active,,,http://www.redfin.com/CA/Irvine/Deco-at-Cadence-Park/Pontiac/home/148128631,NewHomeSource.com,Plan-61570730,N,Y,33.683667,-117.720754
New Construction Plan,,Multi-Family (2-4 Unit),Waverly,Irvine,CA,92618,973569,4,2.5,Deco at Cadence Park,2300,,,,423,,Active,,,http://www.redfin.com/CA/Irvine/Deco-at-Cadence-Park/Waverly/home/148128626,NewHomeSource.com,Plan-61570731,N,Y,33.683667,-117.720754
New Construction Plan,,Single Family Residential,Residence 1X,Irvine,CA,92618,1234990,4,3.5,Great Park Neighborhoods - Encore at Cadence Park,2826,,,,437,,Active,,,http://www.redfin.com/CA/Irvine/Great-Park-Neighborhoods-Encore-at-Cadence-Park/Residence-1X/home/146248848,NewHomeSource.com,Plan-61488259,N,Y,33.6842,-117.728
New Construction Plan,,Single Family Residential,Residence 3X,Irvine,CA,92618,1349990,4,4.0,Great Park Neighborhoods - Encore at Cadence Park,3116,,,,433,,Active,,,http://www.redfin.com/CA/Irvine/Great-Park-Neighborhoods-Encore-at-Cadence-Park/Residence-3X/home/146248874,NewHomeSource.com,Plan-61488258,N,Y,33.6842,-117.728
New Construction Plan,,Single Family Residential,Evelyn,Irvine,CA,92618,959990,4,3.0,Cabaletta at Cadence Park,2430,,,,395,,Active,,,http://www.redfin.com/CA/Irvine/Cabaletta-at-Cadence-Park/Evelyn/home/148172217,NewHomeSource.com,Plan-61487416,N,Y,33.682448,-117.721918
New Construction Plan,,Single Family Residential,Stella,Irvine,CA,92618,2419995,5,5.5,Estrella at Altair,5390,,,,449,,Active,,,http://www.redfin.com/CA/Irvine/Estrella-at-Altair/Stella/home/146286844,NewHomeSource.com,Plan-61414194,N,Y,33.6834823,-117.7091578
New Construction Plan,,Single Family Residential,Callisto,Irvine,CA,92618,2409995,5,5.5,Estrella at Altair,5416,,,,445,,Active,,,http://www.redfin.com/CA/Irvine/Estrella-at-Altair/Callisto/home/146286845,NewHomeSource.com,Plan-61414193,N,Y,33.6834823,-117.7091578
New Construction Plan,,Single Family Residential,Altamira,Irvine,CA,92618,2349995,5,5.5,Estrella at Altair,5243,,,,448,,Active,,,http://www.redfin.com/CA/Irvine/Estrella-at-Altair/Altamira/home/146413677,NewHomeSource.com,Plan-61414192,N,Y,33.6834823,-117.7091578
New Construction Plan,,Single Family Residential,Soleil Elite,Irvine,CA,92618,2249995,5,5.5,Alara at Altair,5247,,,,429,,Active,,,http://www.redfin.com/CA/Irvine/Alara-at-Altair/Soleil-Elite/home/142960940,NewHomeSource.com,Plan-61414191,N,Y,33.676855,-117.708609
New Construction Plan,,Single Family Residential,Calypso Elite,Irvine,CA,92618,2223995,5,5.5,Alara at Altair,5212,,,,427,,Active,,,http://www.redfin.com/CA/Irvine/Alara-at-Altair/Calypso-Elite/home/142960941,NewHomeSource.com,Plan-61414190,N,Y,33.676855,-117.708609
New Construction Plan,,Single Family Residential,Ariel Elite,Irvine,CA,92618,2109995,4,4.5,Alara at Altair,4881,,,,432,,Active,,,http://www.redfin.com/CA/Irvine/Alara-at-Altair/Ariel-Elite/home/142960942,NewHomeSource.com,Plan-61414189,N,Y,33.676855,-117.708609
New Construction Plan,,Single Family Residential,Calypso,Irvine,CA,92618,2030995,5,5.5,Alara at Altair,4633,,,,438,,Active,,,http://www.redfin.com/CA/Irvine/Alara-at-Altair/Calypso/home/142960944,NewHomeSource.com,Plan-61414187,N,Y,33.676855,-117.708609
New Construction Plan,,Single Family Residential,Soleil,Irvine,CA,92618,2095995,5,5.5,Alara at Altair,4627,,,,453,,Active,,,http://www.redfin.com/CA/Irvine/Alara-at-Altair/Soleil/home/142960943,NewHomeSource.com,Plan-61414188,N,Y,33.676855,-117.708609
New Construction Plan,,Townhouse,Residence 2,Irvine,CA,92618,689000,3,3.5,Sterling at Parasol Park,1654,,,,417,,Active,,,http://www.redfin.com/CA/Irvine/Sterling-at-Parasol-Park/Residence-2/home/113707113,NewHomeSource.com,Plan-61384296,N,Y,33.6839998,-117.7406131
New Construction Plan,,Single Family Residential,Luna,Irvine,CA,92618,1939995,5,5.5,Meridian at Altair,4556,,,,426,,Active,,,http://www.redfin.com/CA/Irvine/Meridian-at-Altair/Luna/home/144425959,NewHomeSource.com,Plan-61414185,N,Y,33.683573,-117.70928
New Construction Plan,,Single Family Residential,Ariel,Irvine,CA,92618,1967995,4,4.5,Alara at Altair,4368,,,,451,,Active,,,http://www.redfin.com/CA/Irvine/Alara-at-Altair/Ariel/home/142960945,NewHomeSource.com,Plan-61414186,N,Y,33.676855,-117.708609
New Construction Plan,,Single Family Residential,Helios,Irvine,CA,92618,1889995,5,5.5,Meridian at Altair,4383,,,,431,,Active,,,http://www.redfin.com/CA/Irvine/Meridian-at-Altair/Helios/home/144425960,NewHomeSource.com,Plan-61414184,N,Y,33.683573,-117.70928
New Construction Plan,,Single Family Residential,Atlas,Irvine,CA,92618,1979995,5,5.5,Meridian at Altair,4356,,,,455,,Active,,,http://www.redfin.com/CA/Irvine/Meridian-at-Altair/Atlas/home/142960948,NewHomeSource.com,Plan-61414183,N,Y,33.683573,-117.70928
New Construction Plan,,Single Family Residential,Solitaire,Irvine,CA,92618,2209995,5,5.5,Solano at Altair,5000,,,,442,,Active,,,http://www.redfin.com/CA/Irvine/Solano-at-Altair/Solitaire/home/147600476,NewHomeSource.com,Plan-61436367,N,Y,33.68053,-117.70512
New Construction Plan,,Single Family Residential,Artemis,Irvine,CA,92618,2179995,5,5.5,Solano at Altair,4700,,,,464,,Active,,,http://www.redfin.com/CA/Irvine/Solano-at-Altair/Artemis/home/147567460,NewHomeSource.com,Plan-61436365,N,Y,33.68053,-117.70512
New Construction Plan,,Single Family Residential,Bianca,Irvine,CA,92618,2199995,5,5.5,Solano at Altair,4800,,,,458,,Active,,,http://www.redfin.com/CA/Irvine/Solano-at-Altair/Bianca/home/147567459,NewHomeSource.com,Plan-61436366,N,Y,33.68053,-117.70512
New Construction Plan,,Single Family Residential,Residence 3,Irvine,CA,92618,1684990,4,4.5,Altair Irvine - Eclipse,3792,,,,444,,Active,,,http://www.redfin.com/CA/Irvine/Altair-Irvine-Eclipse/Residence-3/home/144216767,NewHomeSource.com,Plan-61461632,N,Y,33.6826,-117.716
New Construction Plan,,Multi-Family (2-4 Unit),Residence 1,Irvine,CA,92618,759990,2,2.0,Great Park Neighborhoods - Chorus at Cadence Park,1653,,,,460,,Active,,,http://www.redfin.com/CA/Irvine/Great-Park-Neighborhoods-Chorus-at-Cadence-Park/Residence-1/home/147203553,NewHomeSource.com,Plan-61551433,N,Y,33.638998,-117.720093
New Construction Plan,,Multi-Family (2-4 Unit),Residence 2,Irvine,CA,92618,945990,3,2.5,Great Park Neighborhoods - Chorus at Cadence Park,2868,,,,330,,Active,,,http://www.redfin.com/CA/Irvine/Great-Park-Neighborhoods-Chorus-at-Cadence-Park/Residence-2/home/147203552,NewHomeSource.com,Plan-61551434,N,Y,33.638998,-117.720093
New Construction Plan,,Single Family Residential,Residence 3,Irvine,CA,92618,2099990,4,4.5,Altair Irvine - Lumiere,4824,,,,435,,Active,,,http://www.redfin.com/CA/Irvine/Altair-Irvine-Lumiere/Residence-3/home/147279714,NewHomeSource.com,Plan-61553103,N,Y,33.6826,-117.716
New Construction Plan,,Single Family Residential,Residence 4,Irvine,CA,92618,2039990,5,5.5,Altair Irvine - Lumiere,4605,,,,443,,Active,,,http://www.redfin.com/CA/Irvine/Altair-Irvine-Lumiere/Residence-4/home/147279713,NewHomeSource.com,Plan-61553104,N,Y,33.6826,-117.716
New Construction Plan,,Single Family Residential,Residence 4X,Irvine,CA,92618,2459990,6,6.5,Altair Irvine - Lumiere,6590,,,,373,,Active,,,http://www.redfin.com/CA/Irvine/Altair-Irvine-Lumiere/Residence-4X/home/147279712,NewHomeSource.com,Plan-61553105,N,Y,33.6826,-117.716
New Construction Plan,,Single Family Residential,Residence 3X,Irvine,CA,92618,2429990,5,6.0,Altair Irvine - Lumiere,6613,,,,367,,Active,,,http://www.redfin.com/CA/Irvine/Altair-Irvine-Lumiere/Residence-3X/home/147279711,NewHomeSource.com,Plan-61553106,N,Y,33.6826,-117.716
New Construction Plan,,Single Family Residential,Residence 1,Irvine,CA,92618,1859990,3,3.5,Altair Irvine - Lumiere,3471,,,,536,,Active,,,http://www.redfin.com/CA/Irvine/Altair-Irvine-Lumiere/Residence-1/home/147279710,NewHomeSource.com,Plan-61553107,N,Y,33.6826,-117.716
New Construction Plan,,Single Family Residential,Residence 2,Irvine,CA,92618,2089990,5,6.0,Altair Irvine - Lumiere,4686,,,,446,,Active,,,http://www.redfin.com/CA/Irvine/Altair-Irvine-Lumiere/Residence-2/home/147279709,NewHomeSource.com,Plan-61553108,N,Y,33.6826,-117.716
New Construction Plan,,Single Family Residential,Residence 2X,Irvine,CA,92618,921700,3,2.0,Lyric at Cadence Park,2346,,,,393,,Active,,,http://www.redfin.com/CA/Irvine/Lyric-at-Cadence-Park/Residence-2X/home/147264812,NewHomeSource.com,Plan-61553237,N,Y,33.683059,-117.723445
New Construction Plan,,Single Family Residential,Residence 2,Irvine,CA,92618,857860,3,2.0,Lyric at Cadence Park,1958,,,,438,,Active,,,http://www.redfin.com/CA/Irvine/Lyric-at-Cadence-Park/Residence-2/home/147264811,NewHomeSource.com,Plan-61553238,N,Y,33.683059,-117.723445
New Construction Plan,,Single Family Residential,Residence 1X,Irvine,CA,92618,861500,3,2.0,Lyric at Cadence Park,2055,,,,419,,Active,,,http://www.redfin.com/CA/Irvine/Lyric-at-Cadence-Park/Residence-1X/home/147264810,NewHomeSource.com,Plan-61553239,N,Y,33.683059,-117.723445
New Construction Plan,,Single Family Residential,Residence 1,Irvine,CA,92618,807203,3,2.0,Lyric at Cadence Park,1661,,,,486,,Active,,,http://www.redfin.com/CA/Irvine/Lyric-at-Cadence-Park/Residence-1/home/147264809,NewHomeSource.com,Plan-61553240,N,Y,33.683059,-117.723445
New Construction Plan,,Multi-Family (2-4 Unit),Residence 2,Irvine,CA,92618,924990,3,2.0,Travata - Castillo at Travata,1566,,,,591,,Active,,,http://www.redfin.com/CA/Irvine/Travata-Castillo-at-Travata/Residence-2/home/145102181,NewHomeSource.com,Plan-51494289,N,Y,33.6754549,-117.7490709
New Construction Plan,,Multi-Family (2-4 Unit),Residence 3,Irvine,CA,92618,979990,3,2.0,Travata - Castillo at Travata,1701,,,,576,,Active,,,http://www.redfin.com/CA/Irvine/Travata-Castillo-at-Travata/Residence-3/home/145102180,NewHomeSource.com,Plan-61494290,N,Y,33.6754549,-117.7490709
New Construction Plan,,Single Family Residential,Residence 1,Irvine,CA,92618,1033990,2,2.5,Travata - Palencia at Travata,1848,,,,560,,Active,,,http://www.redfin.com/CA/Irvine/Travata-Palencia-at-Travata/Residence-1/home/145102179,NewHomeSource.com,Plan-61494291,N,Y,33.6749995,-117.7495483
New Construction Plan,,Single Family Residential,Residence 2,Irvine,CA,92618,1199990,3,3.5,Travata - Palencia at Travata,2220,,,,541,,Active,,,http://www.redfin.com/CA/Irvine/Travata-Palencia-at-Travata/Residence-2/home/145102178,NewHomeSource.com,Plan-61494292,N,Y,33.6749995,-117.7495483
New Construction Plan,,Single Family Residential,Residence 3,Irvine,CA,92618,1234990,3,3.5,Travata - Palencia at Travata,2305,,,,536,,Active,,,http://www.redfin.com/CA/Irvine/Travata-Palencia-at-Travata/Residence-3/home/145102177,NewHomeSource.com,Plan-61494293,N,Y,33.6749995,-117.7495483
New Construction Plan,,Single Family Residential,Residence 4,Irvine,CA,92618,1244990,3,3.5,Travata - Palencia at Travata,2425,,,,513,,Active,,,http://www.redfin.com/CA/Irvine/Travata-Palencia-at-Travata/Residence-4/home/145102176,NewHomeSource.com,Plan-61494294,N,Y,33.6749995,-117.7495483
New Construction Plan,,Single Family Residential,Residence 5,Irvine,CA,92618,1304990,3,3.5,Travata - Palencia at Travata,2567,,,,508,,Active,,,http://www.redfin.com/CA/Irvine/Travata-Palencia-at-Travata/Residence-5/home/145102175,NewHomeSource.com,Plan-61494295,N,Y,33.6749995,-117.7495483
New Construction Plan,,Single Family Residential,Lacy,Irvine,CA,92620,1086000,4,4.0,Juniper at Portola Springs,2345,,,,463,,Active,,,http://www.redfin.com/CA/Irvine/Juniper-at-Portola-Springs/Lacy/home/144871210,NewHomeSource.com,Plan-61421229,N,Y,33.691521,-117.709537
New Construction Plan,,Single Family Residential,Lucille,Irvine,CA,92620,1119000,4,4.0,Juniper at Portola Springs,2400,,,,466,,Active,,,http://www.redfin.com/CA/Irvine/Juniper-at-Portola-Springs/Lucille/home/144841455,NewHomeSource.com,Plan-61421228,N,Y,33.691521,-117.709537
New Construction Plan,,Single Family Residential,Laclaire,Irvine,CA,92620,960000,4,3.0,Juniper at Portola Springs,1990,,,,482,,Active,,,http://www.redfin.com/CA/Irvine/Juniper-at-Portola-Springs/Laclaire/home/144826359,NewHomeSource.com,Plan-61421227,N,Y,33.691521,-117.709537
New Construction Plan,,Single Family Residential,Residence 3,Irvine,CA,92618,1579990,4,4.5,Altair Irvine - Solstice,3327,,,,475,,Active,,,http://www.redfin.com/CA/Irvine/Altair-Irvine-Solstice/Residence-3/home/144240758,NewHomeSource.com,Plan-61405402,N,Y,33.6826,-117.716
New Construction Plan,,Single Family Residential,Residence 1,Irvine,CA,92618,1374990,3,3.5,Altair Irvine - Solstice,2533,,,,543,,Active,,,http://www.redfin.com/CA/Irvine/Altair-Irvine-Solstice/Residence-1/home/144216766,NewHomeSource.com,Plan-61405400,N,Y,33.6826,-117.716
New Construction Plan,,Single Family Residential,Residence 2,Irvine,CA,92618,1464990,4,4.5,Altair Irvine - Solstice,3000,,,,488,,Active,,,http://www.redfin.com/CA/Irvine/Altair-Irvine-Solstice/Residence-2/home/144216765,NewHomeSource.com,Plan-61405401,N,Y,33.6826,-117.716
New Construction Plan,,Single Family Residential,Eden,Irvine,CA,92618,869990,3,2.5,Cabaletta at Cadence Park,2330,,,,373,,Active,,,http://www.redfin.com/CA/Irvine/Cabaletta-at-Cadence-Park/Eden/home/148305568,NewHomeSource.com,Plan-61487999,N,Y,33.682448,-117.721918
New Construction Plan,,Single Family Residential,Plan 2X,Irvine,CA,92618,1090880,4,4.5,Duet at Cadence Park,2900,,,,376,,Active,,,http://www.redfin.com/CA/Irvine/Duet-at-Cadence-Park/Plan-2X/home/145255597,NewHomeSource.com,Plan-61537277,N,Y,33.68064,-117.723442
New Construction Plan,,Single Family Residential,Residence Three,Irvine,CA,92618,1296990,4,4.5,Elderberry at Portola Springs,2882,,,,450,,Active,,,http://www.redfin.com/CA/Irvine/Elderberry-at-Portola-Springs/Residence-Three/home/145272161,NewHomeSource.com,Plan-61421845,N,Y,33.691757,-117.7079165
New Construction Plan,,Single Family Residential,Residence 2,Irvine,CA,92618,1699990,4,4.5,Altair Irvine - Celestial,3647,,,,466,,Active,,,http://www.redfin.com/CA/Irvine/Altair-Irvine-Celestial/Residence-2/home/144216768,NewHomeSource.com,Plan-61405395,N,Y,33.6826,-117.716
New Construction Plan,,Single Family Residential,Plan 1X,Irvine,CA,92618,1069880,3,2.5,Duet at Cadence Park,2820,,,,379,,Active,,,http://www.redfin.com/CA/Irvine/Duet-at-Cadence-Park/Plan-1X/home/145255598,NewHomeSource.com,Plan-61537276,N,Y,33.68064,-117.723442
New Construction Plan,,Single Family Residential,Residence One,Irvine,CA,92618,1295150,4,4.5,Elderberry at Portola Springs,2892,,,,448,,Active,,,http://www.redfin.com/CA/Irvine/Elderberry-at-Portola-Springs/Residence-One/home/145283805,NewHomeSource.com,Plan-61421843,N,Y,33.691757,-117.7079165
New Construction Plan,,Single Family Residential,Residence Two,Irvine,CA,92618,1259990,4,4.0,Elderberry at Portola Springs,2799,,,,450,,Active,,,http://www.redfin.com/CA/Irvine/Elderberry-at-Portola-Springs/Residence-Two/home/145272162,NewHomeSource.com,Plan-61421844,N,Y,33.691757,-117.7079165
New Construction Plan,,Single Family Residential,Residence 4,Irvine,CA,92618,1869990,4,5.0,Altair Irvine - Starlight,4357,,,,429,,Active,,,http://www.redfin.com/CA/Irvine/Altair-Irvine-Starlight/Residence-4/home/144216770,NewHomeSource.com,Plan-61405390,N,Y,33.6826,-117.716
New Construction Plan,,Single Family Residential,Residence 1,Irvine,CA,92618,1609990,4,4.0,Altair Irvine - Eclipse,3206,,,,502,,Active,,,http://www.redfin.com/CA/Irvine/Altair-Irvine-Eclipse/Residence-1/home/144216769,NewHomeSource.com,Plan-61405391,N,Y,33.6826,-117.716
New Construction Plan,,Single Family Residential,Residence 3,Irvine,CA,92618,1864990,4,5.0,Altair Irvine - Starlight,4066,,,,459,,Active,,,http://www.redfin.com/CA/Irvine/Altair-Irvine-Starlight/Residence-3/home/144216773,NewHomeSource.com,Plan-51405389,N,Y,33.6826,-117.716
New Construction Plan,,Multi-Family (2-4 Unit),Residence 3,Irvine,CA,92618,859990,2,2.0,Travata - Aldea at Travata,1910,,,,450,,Active,,,http://www.redfin.com/CA/Irvine/Travata-Aldea-at-Travata/Residence-3/home/146746616,NewHomeSource.com,Plan-51541399,N,Y,33.68091,-117.7718375
New Construction Plan,,Single Family Residential,Residence 2,Irvine,CA,92618,1056008,4,3.0,Legado at Portola Springs,2185,,,,483,,Active,,,http://www.redfin.com/CA/Irvine/Legado-at-Portola-Springs/Residence-2/home/103993796,NewHomeFeed,Plan-272509,N,Y,33.6891298,-117.7129711
New Construction Plan,,Single Family Residential,Residence 3,Irvine,CA,92618,1046000,4,3.5,Legado at Portola Springs,2258,,,,463,,Active,,,http://www.redfin.com/CA/Irvine/Legado-at-Portola-Springs/Residence-3/home/103993795,NewHomeFeed,Plan-272510,N,Y,33.6891298,-117.7129711
